name	ipo	threshold	months
Cisco	1990-02	1999-03	108
General Electric	1892-01	1996-06	1248
Intel	1970-08	1997-09	324
Microsoft	1986-05	1997-06	132
Exxon Mobile	1920-04	1997-06	924
Wal-Mart	1970-08	1998-09	336
Oracle	1986-02	2000-03	168
Citigroup	1997-02	1999-03	24
IBM	1915-09	1998-12	996
Pfizer 	1944-04	1998-06	648
Merck & Co.	1946-01	1998-03	624
AIG	1984-02	1999-03	180
Johnson & Johnson	1942-10	1999-12	684
Bank of America	1979-05	2004-06	300
Procter & Gamble	1945-10	1999-12	648
JPMorgan Chase	1967-08	2004-09	444
AT&T	1983-08	1999-09	192
Chevron	1920-06	2005-09	1020
Berkshire Hathaway 	1986-02	2004-03	216
Google	2004-01	2006-12	34
Altria Group	1923-07	2005-09	984
Apple	1980-11	2007-12	324
Coca-Cola	1950-04	1997-06	564
Wells Fargo	1961-10	2009-12	576
Amazon.com	1996-08	2013-09	204
Facebook	2012-03	2013-12	20